Best Picture,Best Actor,Best Actress,Best Supporting Actor,Best Supporting Actress,Best Original Screenplay,Best Adapted Screenplay,Best Cinematography,Best Director,Best Animation,IMDB Top 250 Movies
Total Movies in DB: 94,Total Movies in DB: 93,Total Movies in DB: 95,Total Movies in DB: 86,Total Movies in DB: 86,Total Movies in DB: 81,Total Movies in DB: 93,Total Movies in DB: 122,Total Movies in DB: 93,Total Movies in DB: 21,Total Movies in DB: 241
"1927 - ""Wings""","1927 - Emil Jannings, ""The Way of All Flesh""","1927 - Janet Gaynor, ""7th Heaven""","1936 - Walter Brennan, ""Come and Get It""","1936 - Gale Sondergaard, ""Anthony Adverse""","1940 - Preston Sturges, ""The Great McGinty""","1927 - ""7th Heaven""","1927 - Charles Rosher, ""Sunrise""","1927 - Lewis Milestone, ""Two Arabian Knights""","2001 - ""Shrek""","1921 - ""The Kid"""
"1929 - ""The Broadway Melody""","1928 - Emil Jannings, ""The Last Command""","1928 - Janet Gaynor, ""Street Angel""","1937 - Joseph Schildkraut, ""The Life of Emile Zola""","1938 - Alice Brady, ""In Old Chicago""","1941 - Herman J. Mankiewicz and Orson Welles, ""Citizen Kane""","1928 - ""The Patriot""","1928 - Clyde De Vinna, ""White Shadows in the South Seas""","1927 - Frank Borzage, ""7th Heaven""","2001 - ""Spirited Away""","1924 - ""Sherlock Jr."""
"1930 - ""All Quiet on the Western Front""","1929 - George Arliss, ""Disraeli""","1927 - Janet Gaynor, ""Sunrise""","1938 - Walter Brennan, ""Kentucky""","1938 - Fay Bainter, ""Jezebel""","1942 - Ring Lardner Jr. and Michael Kanin, ""Woman of the Year""","1930 - ""The Big House""","1930 - Joseph T. Rucke, ""With Byrd at the South Pole""","1929 - Frank Lloyd, ""The Divine Lady""","2003 - ""Finding Nemo""","1925 - ""The Gold Rush"""
"1931 - ""Cimarron""","1931 - Lionel Barrymore, ""A Free Soul""","1929 - Mary Pickford, ""Coquette""","1939 - Thomas Mitchell, ""Stagecoach""","1939 - Hattie McDaniel, ""Gone with the Wind""","1943 - Norman Krasna, ""Princess O’Rourke""","1931 - ""Cimarron""","1931 - Floyd Crosby, ""Tabu: A Story of the South Seas""","1930 - Lewis Milestone, ""All Quiet on the Western Front""","2004 - ""The Incredibles""","1926 - ""The General"""
"1932 - ""Grand Hotel""","1931 - Wallace Beery, ""Dr. Jekyll and Mr. Hyde""","1930 - Norma Shearer, ""The Divorcee""","1940 - Walter Brennan, ""The Westerner""","1940 - Jane Darwell, ""The Grapes of Wrath""","1944 - Lamar Trotti, ""Wilson""","1931 - ""Bad Girl""","1932 - Lee Garmes, ""Shanghai Express""","1931 - Norman Taurog, ""Skippy""","2005 - ""Wallace & Gromit - The Curse of the Were-Rabbit""","1927 - ""Metropolis"""
"1933 - ""Cavalcade""","1931 - Wallace Beery, ""The Champ"" ","1930 - Marie Dressler, ""Min and Bill""","1941 - Donald Crisp, ""How Green Was My Valley""","1941 - Mary Astor, ""The Great Lie""","1944 - Richard Schweizer, ""Marie-Louise""","1933 - ""Little Women""","1932 - Charles Lang, ""A Farewell to Arms""","1931 - Frank Borzage, ""Bad Girl""","2006 - ""Happy Feet""","1927 - ""Sunrise"""
"1934 - ""It Happened One Night""","1933 - Charles Laughton, ""The Private Life of Henry VIII""","1931 - Helen Hayes, ""The Sin of Madelon Claudet""","1941 - Van Heflin, ""Johnny Eager""","1942 - Teresa Wright, ""Mrs. Miniver""","1945 - Muriel and Sydney Box, ""The Seventh Veil""","1934 - ""It Happened One Night""","1934 - Victor Milner, ""Cleopatra""","1933 - Frank Lloyd, ""Cavalcade""","2007 - ""Ratatouille""","1928 - ""The Passion of Joan of Arc"""
"1935 - ""Mutiny on the Bounty""","1934 - Clark Gable, ""It Happened One Night""","1933 - Katharine Hepburn, ""Morning Glory""","1943 - Charles Coburn, ""The More the Merrier""","1943 - Katina Paxinou, ""For Whom the Bell Tolls""","1947 - Sidney Sheldon, ""The Bachelor and the Bobby-Soxer""","1935 - ""The Informer""","1935 - Hal Mohr, ""A Midsummer Night’s Dream""","1934 - Frank Capra, ""It Happened One Night""","2008 - ""WALL-E""","1931 - ""City Lights"""
"1936 - ""The Great Ziegfeld""","1935 - Victor McLaglen, ""The Informer""","1934 - Claudette Colbert, ""It Happened One Night""","1944 - Barry Fitzgerald, ""Going My Way""","1944 - Ethel Barrymore, ""None But the Lonely Heart""","1948 - Placeholder Name, ""The Treasure of the Sierra Madre""","1936 - ""The Story of Louis Pasteur""","1936 - Tony Guadio, ""Anthony Adverse""","1935 - John Ford, ""The Informer""","2009 - ""Up""","1931 - ""M"""
"1937 - ""The Life of Emile Zola""","1936 - Paul Muni, ""The Story of Louis Pasteur""","1935 - Bette Davis, ""Dangerous""","1945 - James Dunn, ""A Tree Grows in Brooklyn""","1944 - Anne Revere, ""National Velvet""","1949 - Robert Pirosh, ""Battleground""","1937 - ""The Life of Emile Zola""","1936 - W. Howard Greene, ""The Garden of Allah""","1936 - Frank Capra, ""Mr. Deeds Goes to Town""","2010 - ""Toy Story 3""","1934 - ""It Happened One Night"""
"1938 - ""You Can’t Take It With You""","1937 - Spencer Tracy, ""Captains Courageous""","1936 - Luis Rainer, ""The Great Ziegfeld""","1946 - Harold Russell, ""The Best Years of Our Lives""","1946 - Anne Baxter, ""The Razor’s Edge""","1950 - Charles Brackett, ""Sunset Blvd.""","1938 - ""Pygmalion""","1937 - Karl Freund, ""The Good Earth""","1937 - Leo McCarey, ""The Awful Truth""","2011 - ""Rango""","1936 - ""Modern Times"""
"1939 - ""Gone with the Wind""","1938 - Spencer Tracy, ""Boys Town""","1937 - Luise Rainer, ""The Good Earth""","1947 - Edmund Gwenn, ""Miracle on 34th Street""","1947 - Celeste Holm, ""Gentleman’s Agreement""","1951 - Alan Jay Lerner, ""An American in Paris""","1939 - ""Gone with the Wind""","1937 - W. Howard Greene, ""A Star is Born""","1938 - Frank Capra, ""You Can’t Take It with You""","2012 - ""Brave""","1939 - ""Gone with the Wind"""
"1940 - ""Rebecca""","1939 - Robert Donat, ""Goodbye, Mr. Chips""","1938 - Bette Davis, ""Jezebel""","1948 - Walter Huston, ""The Treasure of the Sierra Madre""","1948 - Claire Trevor, ""Key Largo""","1951 - T.E.B. Clarke, ""The Lavender Hill Mob""","1940 - ""The Philadelphia Story""","1938  - Joseph Ruttenberg, ""The Great Waltz""","1939 - Victor Fleming, ""Gone With the Wind""","2013 - ""Frozen""","1939 - ""Mr. Smith Goes to Washington"""
"1941 - ""How Green Was My Valley""","1940 - James Stewart, ""The Philadelphia Story""","1939 - Vivien Leigh, ""Gone with the Wind""","1949 - Dean Jagger, ""Twelve O’Clock High""","1949 - Mercedes McCambridge, ""All the King’s Men""","1953 - Charles Brackett, Richard L. Breen and Walter Reisch, ""Titanic""","1941 - ""Here Comes Mr. Jordan""","1938 - Oliver T. Marsh, ""Sweethearts""","1940 - John Ford, ""The Grapes of Wrath""","2014 - ""Big Hero 6""","1939 - ""The Wizard of Oz"""
"1942 - ""Mrs. Miniver""","1941 - Gary Cooper, ""Sergeant York""","1940 - Ginger Rogers, ""Kitty Foyle""","1950 - George Sanders, ""All About Eve""","1950 - Josephine Hull, ""Harvey""","1954 - Budd Schulberg, ""On the Waterfront""","1942 - ""Mrs. Miniver""","1939 - Gregg Toland, ""Wuthering Heights""","1941 - John Ford, ""How Green Was My Valley""","2015 - ""Inside Out""","1940 - ""Rebecca"""
"1942 - ""Casablanca""","1942 - James Cagney, ""Yankee Doodle Dandy""","1941 - Joan Fontaine, ""Suspicion""","1951 - Karl Malden, ""A Streetcar Named Desire""","1951 - Kim Hunter, ""A Streetcar Named Desire""","1955 - Sonya Levien and William Ludwig, ""Interrupted Melody""","1942 - ""Casablanca""","1939 - Ernest Haller, ""Gone with the Wind""","1942 - William Wyler, ""Mrs. Miniver""","2016 - ""Zootopia""","1940 - ""The Grapes of Wrath"""
"1944 - ""Going My Way""","1943 - Paul Lukas, ""Watch on the Rhine""","1942 - Greer Garson, ""Mrs. Miniver""","1952 - Anthony Quinn, ""Viva Zapata!""","1952 - Gloria Grahame, ""The Bad and the Beautiful""","1956 - Albert Lamorisee, ""The Red Balloon""","1944 - ""Going My Way""","1940 - George Barnes, ""Rebecca""","1942 - Michael Curtiz, ""Casablanca""","2017 - ""Coco""","1940 - ""The Great Dictator"""
"1945 - ""The Lost Weekend""","1944 - Bing Crosby, ""Going My Way""","1943 - Jennifer Jones, ""The Song of Bernadette""","1953 - Frank Sinatra, ""From Here to Eternity""","1953 - Donna Reed, ""From Here to Eternity""","1957 - George Wells, ""Designing Woman""","1945 - ""The Lost Weekend""","1940 - George Périnal, ""The Thief of Bagdad""","1944 - Leo McCarey, ""Going My Way""","2018 - ""Spider-Man - Into the Spider-Verse""","1941 - ""Citizen Kane"""
"1946 - ""The Best Years of Our Lives""","1945 - Ray Milland, ""The Lost Weekend""","1944 - Ingrid Bergman, ""Gaslight""","1954 - Edmond O’Brien, ""The Barefoot Contessa""","1954 - Eva Marie Saint, ""On the Waterfront""","1958 - Nedrick Young and Harold Jacob Smith, ""The Defiant Ones""","1946 - ""The Best Years of Our Lives""","1941 - Arthur C. Miller, ""How Green Was My Valley""","1945 - Billy Wilder, ""The Lost Weekend""","2019 - ""Toy Story 4""","1941 - ""The Maltese Falcon"""
"1947 - ""Gentleman’s Agreement""","1946 - Fredric March, ""The Best Years of Our Lives""","1945 - Joan Crawford, ""Mildred Pierce""","1955 - Jack Lemmon, ""Mister Roberts""","1955 - Jo Van Fleet, ""East of Eden""","1959 - Stanley Shapiro and Maurice Richlin, ""Pillow Talk""","1947 - ""Miracle on 34th Street""","1941 - Ernest Haller, ""Blood and Sand""","1946 - William Wyler, ""The Best Years of Our Lives""","2020 - ""Soul""","1942 - ""Casablanca"""
"1948 - ""Hamlet""","1947 - Ronald Colman, ""A Double Life""","1946 - Olivia de Havilland, ""To Each His Own""","1956 - Anthony Quinn, ""Lust for Life""","1956 - Dorothy Malone, ""Written on the Wind""","1960 - I.A.L. Diamond and Billy Wilder, ""The Apartment""","1948 - ""The Treasure of the Sierra Madre""","1942 - Joseph Ruttenberg, ""Mrs. Miniver""","1947 - Elia Kazan, ""Gentleman’s Agreement""","2021 - ""Encanto""","1944 - ""Double Indemnity"""
"1949 - ""All the King’s Men""","1948 - Laurence Olivier, ""Hamlet""","1947 - Loretta Young, ""The Farmer’s Daughter""","1957 - Red Buttons, ""Sayonara""","1957 - Miyoshi Umeki, ""Sayonara""","1961 - William Inge, ""Splendor in the Grass""","1949 - ""A Letter to Three Wives""","1942 - Leon Shamroy, ""The Black Swan""","1948 - John Huston, ""The Treasure of the Sierra Madre""",,"1946 - ""It's a Wonderful Life"""
"1950 - ""All about Eve""","1949 - Broderick Crawford, ""All the King’s Men""","1948 - Jane Wyman, ""Johnny Belinda""","1958 - Burl Ives, ""The Big Country""","1958 - Wendy Hiller, ""Separate Tables""","1961 - Ennio de Concini Pietro Germi and Alfredo Giannetti, ""Divorce Italian Style""","1950 - ""All About Eve""","1943 - Arthur C. Miller, ""The Song of Bernadette""","1949 - Joseph L. Mankiewicz, ""A Letter to Three Wives""",,"1946 - ""The Best Years of Our Lives"""
"1951 - ""An American in Paris""","1950 - Jose Ferrer, ""Cyrano de Bergerac""","1949 - Olivia de Havilland, ""The Heiress""","1959 - Hugh Griffith, ""Ben-Hur""","1959 - Shelley Winters, ""The Diary of Anne Frank""","1962 - James R. Webb, ""How the West Was Won""","1951 - ""A Place in the Sun""","1943 - Hal Mohr, ""Phantom of the Opera""","1950 - Joseph L. Mankiewicz, ""All About Eve""",,"1948 - ""Bicycle Thieves"""
"1952 - ""The Greatest Show On Earth""","1951 - Humphrey Bogart, ""The African Queen""","1950 - Judy Holliday, ""Born Yesterday""","1960 - Peter Ustinov, ""Spartacus""","1960 - Shirley Jones, ""Elmer Gantry""","1964 - Peter Stone and Frank Tarloff, ""Father Goose""","1952 - ""The Bad and the Beautiful""","1944 - Joseph LaShelle, ""Laura""","1951 - George Stevens, ""A Place in the Sun""",,"1948 - ""The Treasure of the Sierra Madre"""
"1953 - ""From Here to Eternity""","1952 - Gary Cooper, ""High Noon""","1951 - Vivien Leigh, ""A Streetcar Named Desire""","1961 - George Chakiris, ""West Side Story""","1961 - Rita Moreno, ""West Side Story""","1965 - Frederic Raphael, ""Darling""","1953 - ""From Here to Eternity""","1944 - Leon Shamroy, ""Wilson""","1952 - John Ford, ""The Quiet Man""",,"1949 - ""The Third Man"""
"1954 - ""On the Waterfront""","1953 - William Holden, ""Stalag 17""","1952 - Shirley Booth, ""Come Back, Little Sheba""","1962 - Ed Begley, ""Sweet Bird of Youth""","1962 - Patty Duke, ""The Miracle Worker""","1966 - Claude Lelouch and Pierre Uytterhoeven, ""A Man and a Woman""","1955 - ""The Country Girl""","1945 - Harry Stradling, ""The Picture of Dorian Gray""","1953 - Fred Zinnemann, ""From Here to Eternity""",,"1950 - ""All About Eve"""
"1955 - ""Marty""","1954 - Marlon Brando, ""On the Waterfront""","1953 - Audrey Hepburn, ""Roman Holiday""","1963 - Melvyn Douglas, ""Hud""","1963 - Margaret Rutherford, ""The V.I.P.s""","1967 - William Rose, ""Guess Who’s Coming to Dinner""","1955 - ""Marty""","1945 - Leon Shamroy, ""Leave Her to Heaven""","1954 - Elia Kazan, ""On the Waterfront""",,"1950 - ""Rashomon"""
"1956 - ""Around the World in 80 Days""","1955 - Ernest Borgnine, ""Marty""","1955 - Grace Kelly, ""The Country Girl""","1964 - Peter Ustinov, ""Topkapi""","1964 - Lila Kedrova, ""Zorba the Greek""","1967 - Mel Brooks, ""The Producers""","1956 - ""Around the World in 80 Days""","1946 - Arthur C. Miller, ""Anna and the King of Siam""","1955 - Delbert Mann, ""Marty""",,"1950 - ""Sunset Blvd."""
"1957 - ""The Bridge on the River Kwai""","1956 - Yul Brynner, ""The King and I""","1955 - Anna Magnani, ""The Rose Tattoo""","1965 - Martin Balsam, ""A Thousand Clowns""","1965 - Shelley Winters, ""A Patch of Blue""","1969 - William Goldman, ""Butch Cassidy and the Sundance Kid""","1957 - ""The Bridge on the River Kwai""","1946 - Charles Rosher, ""The Yearling""","1956 - George Stevens, ""Giant""",,"1952 - ""Ikiru"""
"1958 - ""Gigi""","1957 - Alec Guinness, ""The Bridge on the River Kwai""","1956 - Ingrid Bergman, ""Anastasia""","1966 - Walter Matthau, ""The Fortune Cookie""","1966 - Sandy Dennis, ""Who’s Afraid of Virginia Woolf?""","1970 - Francis Ford Coppola and Edmund H. North, ""Patton""","1958 - ""Gigi""","1946 - Guy Green, ""Great Expectations""","1957 - David Lean, ""The Bridge on the River Kwai""",,"1952 - ""Singin' in the Rain"""
"1959 - ""Ben-Hur""","1958 - David Niven, ""Separate Tables""","1957 - Joanne Woodward, ""The Three Faces of Eve""","1967 - George Kennedy, ""Cool Hand Luke""","1967 - Estelle Parsons, ""Bonnie and Clyde""","1971 - Paddy Chayefsky, ""The Hospital""","1959 - ""Room at the Top""","1947 - Jack Cardiff, ""Black Narcissus""","1958 - Vincente Minnelli, ""Gigi""",,"1953 - ""The Wages of Fear"""
"1960 - ""The Apartment""","1959 - Charlton Heston, ""Ben-Hur""","1958 - Susan Hayward, ""I Want to Live!""","1968 - Jack Albertson, ""The Subject Was Roses""","1968 - Ruth Gordon, ""Rosemary’s Baby""","1972 - Jeremy Larner, ""The Candidate""","1960 - ""Elmer Gantry""","1948 - William Daniels, ""The Naked City""","1959 - William Wyler, ""Ben-Hur""",,"1953 - ""Tokyo Story"""
"1961 - ""West Side Story""","1960 - Burt Lancaster, ""Elmer Gantry""","1959 - Simone Signoret, ""Room at the Top""","1969 - Gig Young, ""They Shoot Horses, Don’t They?""","1969 - Goldie Hawn, ""Cactus Flower""","1973 - David S. Ward, ""The Sting""","1961 - ""Judgment at Nuremberg""","1948 - Joseph Valentine, ""Joan of Arc""","1960 - Billy Wilder, ""The Apartment""",,"1954 - ""Dial M for Murder"""
"1962 - ""Lawrence of Arabia""","1961 - Maximilian Schell, ""Judgment at Nuremberg""","1960 - Elizabeth Taylor, ""Butterfield 8""","1970 - John Mills, ""Ryan’s Daughter""","1970 - Helen Hayes, ""Airport""","1974 - Robert Towne, ""Chinatown""","1962 - ""To Kill a Mockingbird""","1949 - Paul C. Vogel, ""Battleground""","1961 - Robert Wise, Jerome Robbins, ""West Side Story""",,"1954 - ""On the Waterfront"""
"1963 - ""Tom Jones""","1962 - Gregory Peck, ""To Kill a Mockingbird""","1960 - Sophia Loren, ""Two Women""","1971 - Ben Johnson, ""The Last Picture Show""","1971 - Cloris Leachman, ""The Last Picture Show""","1975 - Frank Pierson, ""Dog Day Afternoon""","1963 - ""Tom Jones""","1949 - Winton C. Hoch, ""She Wore a Yellow Ribbon""","1962 - David Lean, ""Lawrence of Arabia""",,"1954 - ""Rear Window"""
"1964 - ""My Fair Lady""","1963 - Sidney Poitier, ""Lilies of the Field""","1962 - Anne Bancroft, ""The Miracle Worker""","1972 - Joel Grey, ""Cabaret""","1972 - Eileen Heckart, ""Butterflies are Free""","1976 - Paddy Chayefsky, ""Network""","1964 - ""Becket""","1949 - Robert Krasker, ""The Third Man""","1963 - Tony Richardson, ""Tom Jones""",,"1954 - ""Seven Samurai"""
"1965 - ""The Sound of Music""","1964 - Rex Harrison, ""My Fair Lady""","1963 - Patricia Neal, ""Hud""","1973 - John Houseman, ""The Paper Chase""","1973 - Tatum O’Neal, ""Paper Moon""","1977 - Woody Allen and Marshall Brickman, ""Annie Hall""","1965 - ""Doctor Zhivago""","1950 - Robert Surtees, ""King Solomon’s Mines""","1964 - George Cukor, ""My Fair Lady""",,"1955 - ""Diabolique"""
"1966 - ""A Man for All Seasons""","1965 - Lee Marvin, ""Cat Ballou""","1964 - Julie Andrews, ""Mary Poppins""","1974 - Robert De Niro, ""The Godfather: Part II""","1974 - Ingrid Bergman, ""Murder on the Orient Express""","1978 - Robert C. Jones and Waldo Salt, ""Coming Home""","1966 - ""A Man for All Seasons""","1951 - William C. Mellor, ""A Place in the Sun""","1965 - Robert Wise, ""The Sound of Music""",,"1957 - ""12 Angry Men"""
"1967 - ""In the Heat of the Night""","1966 - Paul Scofield, ""A Man for All Seasons""","1965 - Julie Christie, ""Darling""","1975 - George Burns, ""The Sunshine Boys""","1975 - Lee Grant, ""Shampoo""","1979 - Steve Tesich, ""Breaking Away""","1967 - ""In the Heat of the Night""","1951 - Alfred Gilks, ""An American in Paris""","1966 - Fred Zinnemann, ""A Man for All Seasons""",,"1957 - ""Paths of Glory"""
"1968 - ""Oliver!""","1967 - Rod Steiger, ""In the Heat of the Night""","1966 - Elizabeth Taylor, ""Who’s Afraid of Virginia Woolf?""","1976 - Jason Robards, ""All the President’s Men""","1976 - Beatrice Straight, ""Network""","1980 - Bo Goldman, ""Melvin and Howard""","1968 - ""The Lion in Winter""","1952 - Robert Surtees, ""The Bad and the Beautiful""","1967 - Mike Nichols, ""The Graduate""",,"1957 - ""The Bridge on the River Kwai"""
"1969 - ""Midnight Cowboy""","1968 - Cliff Robertson, ""Charly""","1967 - Katharine Hepburn, ""Guess Who’s coming to Dinner""","1977 - Jason Robards, ""Julia""","1977 - Vanessa Redgrave, ""Julia""","1981 - Colin Welland, ""Chariots of Fire""","1969 - ""Midnight Cowboy""","1952 - Winton C. Hoch, ""The Quiet Man""","1968 - Carol Reed, ""Oliver!""",,"1957 - ""Nights of Cabiria"""
"1970 - ""Patton""","1969 - John Wayne, ""True Grit""","1968 - Barbra Streisand, ""Funny Girl""","1978 - Christopher Walken, ""The Deer Hunter""","1978 - Maggie Smith, ""California Suite""","1982 - John Briley, ""Gandhi""","1970 - ""MASH""","1953 - Burnett Guffey, ""From Here to Eternity""","1969 - John Schlesinger, ""Midnight Cowboy""",,"1957 - ""The Seventh Seal"""
"1971 - ""The French Connection""","1970 - George C. Scott, ""Patton""","1968 - Katharine Hepburn, ""The Lion in Winter""","1979 - Melvyn Douglas, ""Being There""","1979 - Meryl Streep, ""Kramer vs. Kramer""","1983 - Horton Foote, ""Tender Mercies""","1971 - ""The French Connection""","1953 - Loyal Griggs, ""Shane""","1970 - Franklin J. Schaffner, ""Patton""",,"1957 - ""Wild Strawberries"""
"1972 - ""The Godfather""","1971 - Gene Hackman, ""The French Connection""","1969 - Maggie Smith, ""The Prime of Miss Jean Brodie""","1980 - Timothy Hutton, ""Ordinary People""","1980 - Mary Steenburgen, ""Melvin and Howard""","1984 - Robert Benton, ""Places in the Heart""","1972 - ""The Godfather""","1954 - Boris Kaufman, ""On the Waterfront""","1971 - William Friedkin, ""The French Connection""",,"1957 - ""Witness for the Prosecution"""
"1973 - ""The Sting""","1972 - Marlon Brando, ""The Godfather""","1969 - Glendale Jackson, ""Women in Love""","1981 - John Gielgud, ""Arthur""","1981 - Maureen Stapleton, ""Reds""","1985 - William Kelley and Earl W. Wallace, ""Witness""","1973 - ""The Exorcist""","1954 - Milton Krasner, ""Three Coins in the Fountain""","1972 - Bob Fosse, ""Cabaret""",,"1958 - ""Vertigo"""
"1974 - ""The Godfather: Part II""","1973 - Jack Lemmon, ""Save the Tiger""","1971 - Jane Fonda, ""Klute""","1982 - Louis Gossett Jr., ""An Officer and a Gentleman""","1982 - Jessica Lange, ""Tootsie""","1986 - Woody Allen, ""Hannah and Her Sisters""","1974 - ""The Godfather: Part II""","1955 - James Wong Howe, ""The Rose Tattoo""","1973 - George Roy Hill, ""The Sting""",,"1959 - ""Ben-Hur"""
"1975 - ""One Flew over the Cuckoo’s Nest""","1974 - Art Carnet, ""Harry and Tonto""","1972 - Liza Minnelli, ""Cabaret""","1983 - Jack Nicholson, ""Terms of Endearment""","1982 - Linda Hunt, ""The Year of Living Dangerously""","1987 - John Patrick Shanley, ""Moonstruck""","1975 - ""One Flew Over the Cuckoo's Nest""","1955 - Robert Burks, ""To Catch a Thief""","1974 - Francis Ford Coppola, ""The Godfather: Part II""",,"1959 - ""North by Northwest"""
"1976 - ""Rocky""","1975 - Jack Nicholson, ""One Flew over the Cuckoo’s Nest""","1973 - Glenda Jackson, ""A Touch of Class""","1984 - Haing S. Ngor, ""The Killing Fields""","1984 - Peggy Ashcroft, ""A Passage to India""","1988 - Ronald Bass and Barry Morrow, ""Rain Man""","1976 - ""All the President's Men""","1956 - Joseph Ruttenberg, ""Somebody Up There Likes Me""","1975 - Milos Forman, ""One Flew Over the Cuckoo’s Nest""",,"1959 - ""Some Like It Hot"""
"1977 - ""Annie Hall""","1976 - Peter Finch, ""Network""","1974 - Ellen Burstyn, ""Alice Doesn’t Live Here Anymore""","1985 - Don Ameche, ""Cocoon""","1985 - Anjelica Huston, ""Prizzi’s Honor""","1989 - Tom Schulman, ""Dead Poets Society""","1977 - ""Julia""","1956 - Lionel Lindon, ""Around the World in 80 Days""","1976 - John G. Avildsen, ""Rocky""",,"1959 - ""The 400 Blows"""
"1978 - ""The Deer Hunter""","1977 - Richard Dreyfuss, ""The Goodbye Girl""","1975 - Louise Fletcher, ""One Flew over the Cuckoo’s Nest""","1986 - Michael Caine, ""Hannah and Her Sisters""","1986 - Dianne Wiest, ""Hannah and Her Sisters""","1990 - Bruce Joel Rubin, ""Ghost""","1978 - ""Midnight Express""","1957 - Jack Hildyard, ""The Bridge on the River Kwai""","1977 - Woody Allen, ""Annie Hall""",,"1960 - ""Psycho"""
"1979 - ""Kramer vs. Kramer""","1978 - Jon Voight, ""Coming Home""","1976 - Faye Dunaway, ""Network""","1987 - Sean Connery, ""The Untouchables""","1987 - Olympia Dukakis, ""Moonstruck""","1991 - Callie Khouri, ""Thelma & Louise""","1979 - ""Kramer vs. Kramer""","1958 - Sam Leavitt, ""The Defiant Ones""","1978 - Michael Cimino, ""The Deer Hunter""",,"1960 - ""The Apartment"""
"1980 - ""Ordinary People""","1979 - Dustin Hoffman, ""Kramer vs. Kramer""","1977 - Diane Keaton, ""Annie Hall""","1988 - Kevin Kline, ""A Fish Called Wanda""","1988 - Geena Davis, ""The Accidental Tourist""","1992 - Neil Jordan, ""The Crying Game""","1980 - ""Ordinary People""","1958 - Joseph Ruttenberg, ""Gigi""","1979 - Robert Benton, ""Kramer vs. Kramer""",,"1961 - ""Judgment at Nuremberg"""
